"","nsw","age","educ","black","hisp","married","re78"
"1",1,37,11,1,0,1,9930.0498046875
"2",1,22,9,0,1,0,3595.88989257812
"3",1,30,12,1,0,0,24909.5
"4",1,27,11,1,0,0,7506.14990234375
"5",1,33,8,1,0,0,289.790008544922
"6",1,22,9,1,0,0,4056.48999023438
"8",1,32,11,1,0,0,8472.16015625
"9",1,22,16,1,0,0,2164.02001953125
"10",1,33,12,0,0,1,12418.099609375
"11",1,19,9,1,0,0,8173.91015625
"12",1,21,13,1,0,0,17094.599609375
"14",1,27,10,1,0,1,18739.900390625
"15",1,17,7,1,0,0,3023.8798828125
"16",1,19,10,1,0,0,3228.5
"17",1,27,13,1,0,0,14581.900390625
"18",1,23,10,1,0,0,7693.39990234375
"19",1,40,12,1,0,0,10804.2998046875
"20",1,26,12,1,0,0,10747.400390625
"22",1,41,14,0,0,0,5149.5
"23",1,38,9,0,0,0,6408.9501953125
"24",1,24,11,1,0,0,1991.40002441406
"25",1,18,10,1,0,0,11163.2001953125
"26",1,29,11,1,0,1,9643
"27",1,25,11,1,0,0,9897.0498046875
"28",1,27,10,0,1,0,11142.900390625
"29",1,17,10,1,0,0,16218
"30",1,24,11,1,0,0,995.700012207031
"32",1,48,4,1,0,0,6551.58984375
"33",1,25,11,1,0,1,1574.42004394531
"35",1,25,12,1,0,0,3191.75
"36",1,42,14,1,0,0,20505.900390625
"37",1,25,5,1,0,0,6181.8798828125
"38",1,23,12,1,0,1,5911.5498046875
"39",1,46,8,1,0,1,3094.15991210938
"41",1,21,12,1,0,0,1254.57995605469
"42",1,19,9,0,0,0,13188.7998046875
"43",1,17,8,1,0,0,8061.490234375
"44",1,18,8,0,1,1,2787.9599609375
"45",1,20,11,1,0,0,3972.5400390625
"49",1,25,5,1,0,0,12187.400390625
"50",1,23,12,1,0,0,4843.18017578125
"52",1,31,11,1,0,1,8087.490234375
"54",1,25,12,1,0,0,2348.96997070312
"55",1,30,11,1,0,1,590.781982421875
"57",1,37,9,1,0,0,1067.51000976562
"58",1,41,4,1,0,1,7284.990234375
"59",1,42,14,1,0,1,13167.5
"60",1,22,11,0,0,0,1048.43005371094
"62",1,29,8,1,0,0,1923.93994140625
"63",1,35,10,1,0,0,4666.240234375
"64",1,27,11,1,0,0,549.297973632812
"65",1,29,4,1,0,0,762.914978027344
"66",1,28,9,1,0,0,10694.2998046875
"69",1,45,5,1,0,1,8546.7197265625
"70",1,29,13,1,0,0,7479.66015625
"72",1,46,13,1,0,0,647.205017089844
"74",1,25,12,1,0,0,11965.7998046875
"75",1,28,15,1,0,0,9598.5400390625
"76",1,25,11,0,0,0,18783.400390625
"77",1,22,12,1,0,0,18678.099609375
"79",1,40,11,1,0,0,23005.599609375
"80",1,22,11,1,0,0,6456.7001953125
"82",1,18,12,1,0,0,2321.11010742188
"83",1,38,12,0,0,0,4941.85009765625
"87",1,23,8,0,1,0,3881.28002929688
"88",1,26,11,1,0,0,17231
"89",1,21,12,0,0,0,8048.60009765625
"91",1,31,11,1,0,1,14509.900390625
"94",1,21,12,1,0,0,9983.7802734375
"96",1,25,12,0,0,0,5587.5
"97",1,18,9,1,0,0,4482.85009765625
"98",1,42,12,1,0,0,2456.14990234375
"100",1,31,9,0,1,0,26817.599609375
"102",1,26,10,1,0,0,9265.7900390625
"103",1,25,11,1,0,0,485.230010986328
"104",1,18,11,1,0,0,4814.6298828125
"105",1,19,11,1,0,0,7458.10986328125
"107",1,27,13,1,0,0,34099.30078125
"108",1,17,9,1,0,0,1953.27001953125
"111",1,20,9,1,0,0,8881.669921875
"112",1,17,9,0,1,0,6210.669921875
"114",1,18,11,1,0,0,929.883972167969
"116",1,21,12,0,0,0,12558
"117",1,27,12,1,0,0,22163.30078125
"118",1,20,12,1,0,0,1652.64001464844
"119",1,19,10,1,0,0,8124.72021484375
"120",1,23,12,1,0,0,671.331970214844
"121",1,29,14,1,0,0,17815
"122",1,18,10,1,0,0,9737.150390625
"123",1,19,9,1,0,0,17685.19921875
"125",1,18,11,0,0,0,4321.7099609375
"126",1,27,9,1,0,1,1773.42004394531
"128",1,23,10,1,0,1,11233.2998046875
"129",1,23,12,0,1,0,559.442993164062
"130",1,20,11,1,0,0,1085.43994140625
"131",1,17,9,1,0,0,5445.2001953125
"132",1,28,11,1,0,0,60307.8984375
"133",1,26,11,1,0,1,1460.35998535156
"134",1,20,11,1,0,0,6943.33984375
"135",1,24,11,1,0,1,4032.7099609375
"136",1,31,9,1,0,0,10363.2998046875
"137",1,23,8,0,0,1,4232.31005859375
"138",1,18,10,1,0,0,11141.400390625
"140",1,26,11,0,0,0,13385.900390625
"141",1,24,9,1,0,0,4849.56005859375
"143",1,24,10,1,0,0,1660.51000976562
"145",1,31,12,0,0,0,2484.55004882812
"146",1,19,11,1,0,0,4146.60009765625
"147",1,19,8,1,0,0,9970.6796875
"149",1,26,11,1,0,1,26372.30078125
"150",1,20,10,1,0,0,5615.18994140625
"151",1,28,10,1,0,0,3196.57006835938
"152",1,24,12,1,0,0,6167.68017578125
"153",1,19,8,1,0,0,7535.93994140625
"154",1,23,12,1,0,0,8484.240234375
"155",1,42,9,1,0,1,1294.41003417969
"157",1,18,9,1,0,0,5010.33984375
"158",1,21,12,1,0,0,9371.0400390625
"160",1,21,8,1,0,0,4279.60986328125
"161",1,22,9,1,0,0,3462.56005859375
"162",1,31,4,1,0,0,7382.5498046875
"165",1,29,12,1,0,0,10976.5
"166",1,19,10,0,0,0,13829.599609375
"167",1,19,11,0,1,1,6788.4599609375
"168",1,31,9,1,0,0,9558.5
"169",1,22,10,1,0,1,13228.2998046875
"170",1,21,9,1,0,0,743.6669921875
"171",1,17,10,1,0,0,5522.7900390625
"172",1,26,12,1,0,1,1424.93994140625
"173",1,20,9,0,1,0,1358.64001464844
"175",1,26,10,1,0,0,672.877014160156
"177",1,22,12,0,1,1,10092.7998046875
"178",1,33,11,1,0,0,6281.43017578125
"179",1,22,12,0,0,0,12590.7001953125
"180",1,29,10,0,1,0,5112.009765625
"181",1,33,12,1,0,1,15952.599609375
"182",1,25,14,1,0,1,36647
"183",1,35,9,1,0,1,12804
"184",1,35,8,1,0,1,3786.6298828125
"185",1,33,11,1,0,1,4181.93994140625
"187",0,26,12,0,0,0,12383.7001953125
"189",0,18,9,1,0,0,10740.099609375
"190",0,45,11,1,0,0,11796.5
"191",0,18,9,1,0,0,9227.0498046875
"192",0,24,8,0,0,0,10569.2998046875
"193",0,34,11,1,0,1,6040.33984375
"194",0,24,4,0,1,0,3880.830078125
"196",0,21,14,1,0,0,5775.06005859375
"201",0,34,12,1,0,0,2113.71997070312
"202",0,24,10,1,0,0,7618.64013671875
"203",0,22,8,0,1,0,9920.9501953125
"204",0,25,11,1,0,0,4196.3798828125
"206",0,19,9,1,0,1,16658.30078125
"207",0,44,9,1,0,0,9722
"208",0,27,8,1,0,0,3783.65991210938
"209",0,25,8,1,0,0,3515.92993164062
"210",0,31,10,1,0,0,17014.599609375
"213",0,33,12,1,0,0,5970.259765625
"214",0,18,10,0,1,0,1859.17004394531
"215",0,26,12,1,0,1,6191.93994140625
"216",0,31,12,1,0,0,7284.39013671875
"217",0,35,10,1,0,0,445.830993652344
"220",0,25,10,1,0,0,7367.0400390625
"222",0,20,10,1,0,0,2015.5
"223",0,25,9,0,1,0,15791.099609375
"224",0,27,10,1,0,0,1135.46997070312
"225",0,20,11,0,1,0,6378.72021484375
"226",0,26,11,1,0,0,7176.18994140625
"228",0,34,10,1,0,0,7952.5400390625
"230",0,32,8,1,0,0,7152.1298828125
"231",0,20,9,0,1,0,8329.8203125
"233",0,38,10,1,0,0,12429.900390625
"235",0,23,11,1,0,0,5088.759765625
"236",0,20,7,0,1,0,4374.0400390625
"237",0,21,11,1,0,0,1553.2900390625
"239",0,22,11,1,0,1,1698.30004882812
"241",0,24,12,0,0,0,11294.599609375
"243",0,24,11,1,0,0,14626.400390625
"244",0,22,9,1,0,0,12898.400390625
"245",0,28,11,1,0,0,5767.1298828125
"246",0,18,10,0,1,0,6527.919921875
"247",0,26,10,1,0,0,3931.23999023438
"248",0,25,10,1,0,0,20942.19921875
"251",0,36,10,1,0,0,14690.400390625
"253",0,25,12,1,0,0,3418.10009765625
"254",0,27,11,1,0,0,11197.2998046875
"258",0,24,7,1,0,0,1455.68994140625
"259",0,29,12,1,0,0,1890.93994140625
"260",0,25,11,0,1,1,4485.6201171875
"261",0,30,12,1,0,0,13613.400390625
"262",0,22,8,1,0,0,1390.51000976562
"263",0,55,3,1,0,0,5843.7998046875
"264",0,20,10,1,0,0,8598.51953125
"265",0,34,11,1,0,0,2920.19995117188
"267",0,32,12,0,1,1,6735.31982421875
"271",0,25,11,1,0,1,44.755500793457
"274",0,25,10,1,0,1,3701.81005859375
"275",0,42,10,1,0,0,6930.33984375
"276",0,39,12,1,0,1,3795.80004882812
"277",0,34,13,1,0,1,5193.25
"278",0,24,7,1,0,0,2193.53002929688
"279",0,32,11,1,0,0,11120.5
"280",0,27,13,1,0,0,7609.52001953125
"281",0,26,10,1,0,0,2169.03002929688
"283",0,25,11,1,0,0,1264.22998046875
"288",0,19,9,1,0,0,5712.64013671875
"292",0,27,10,1,0,0,1184.88000488281
"293",0,29,11,1,0,1,10225.900390625
"295",0,25,9,1,0,1,4715.3701171875
"296",0,25,10,1,0,0,289.790008544922
"298",0,28,8,0,0,0,8190.419921875
"299",0,26,6,1,0,0,4813.0498046875
"300",0,30,14,1,0,1,7344.68017578125
"305",0,23,11,1,0,0,4350.91015625
"306",0,54,11,1,0,0,7812.52001953125
"308",0,20,8,1,0,0,3644.65991210938
"309",0,45,9,1,0,0,4844.7998046875
"313",0,27,12,0,0,0,14792.900390625
"316",0,23,8,1,0,0,3746.69995117188
"317",0,18,8,1,0,0,1568.15002441406
"318",0,17,8,1,0,0,7010.43994140625
"319",0,19,9,0,1,0,3811.67993164062
"320",0,18,8,0,1,0,10798.599609375
"321",0,18,11,1,0,0,4657.27001953125
"322",0,17,11,1,0,0,8551.5302734375
"323",0,19,10,1,0,0,4309.8798828125
"324",0,19,10,1,0,0,5286.39990234375
"325",0,18,9,1,0,0,12486.2001953125
"326",0,18,9,1,0,0,10877.400390625
"327",0,18,10,1,0,0,202.285003662109
"328",0,17,10,1,0,0,2657.7099609375
"329",0,18,7,1,0,0,4132.580078125
"330",0,18,11,1,0,0,11303.099609375
"334",0,17,10,1,0,0,2189.42993164062
"336",0,17,8,0,0,0,10211
"337",0,18,10,1,0,0,11048.099609375
"339",0,17,8,1,0,0,8993.8701171875
"340",0,19,6,0,1,0,5071.7998046875
"341",0,19,10,0,0,0,3194.01000976562
"343",0,20,9,1,0,0,5193.08984375
"345",0,17,10,1,0,0,275.566009521484
"346",0,17,9,1,0,0,3590.69995117188
"348",0,19,10,1,0,1,12797.7001953125
"349",0,20,9,1,0,0,2035.91003417969
"350",0,18,9,1,0,0,2389.67993164062
"352",0,17,10,0,1,0,8469.2802734375
"354",0,17,10,1,0,0,1143.39001464844
"355",0,17,9,0,1,0,5114.81005859375
"356",0,18,10,1,0,0,781.223999023438
"357",0,21,9,1,0,0,3343.21997070312
"358",0,18,10,1,0,0,9602.4404296875
"360",0,24,9,1,0,0,16461.599609375
"361",0,28,11,0,1,1,6771.6201171875
"363",0,21,7,1,0,0,11011.599609375
"367",0,17,11,1,0,0,4251.1298828125
"368",0,18,10,1,0,0,2891.669921875
"369",0,18,10,1,0,0,5514.3701171875
"370",0,28,10,1,0,0,4858.89990234375
"371",0,27,13,0,0,0,4812.580078125
"373",0,22,9,1,0,0,604.198974609375
"374",0,31,10,1,0,0,14527.900390625
"376",0,18,9,0,0,0,7300.5
"378",0,20,12,1,0,0,4159.919921875
"380",0,18,11,1,0,0,5497.58984375
"384",0,28,12,0,0,0,16477
"386",0,21,10,1,0,0,39483.5
"387",0,17,10,0,1,0,11306.2998046875
"388",0,26,11,1,0,0,6672.02001953125
"389",0,29,9,1,0,0,9378.650390625
"390",0,17,10,0,1,0,5088.990234375
"391",0,22,11,1,0,0,2639.2900390625
"392",0,24,11,1,0,0,9495.900390625
"393",0,20,12,1,0,0,20893.099609375
"395",0,24,11,0,0,0,10361.7001953125
"396",0,21,9,0,0,0,1740.19995117188
"399",0,17,10,0,1,0,6354.18994140625
"400",0,19,9,1,0,0,7171
"401",0,23,11,1,0,0,5573.5498046875
"402",0,22,12,1,0,0,439.68798828125
"403",0,29,12,1,0,0,16970
"404",0,22,10,1,0,0,5344.02001953125
"405",0,29,13,1,0,0,2725.32006835938
"406",0,19,11,1,0,0,9772.2802734375
"409",0,19,12,1,0,0,1720.91003417969
"411",0,33,11,1,0,0,18859.900390625
"412",0,36,11,0,1,0,1324.5400390625
"413",0,25,11,1,0,0,284.657989501953
"414",0,19,11,1,0,0,11195.900390625
"417",0,43,10,1,0,0,7565.27001953125
"421",0,28,11,1,0,1,4974.58984375
"422",0,28,12,1,0,1,12780
"423",0,26,8,1,0,0,3523.580078125
"425",0,23,11,1,0,0,10274.7998046875
"426",0,20,12,1,0,0,4779.72021484375
"427",0,28,10,1,0,1,16988.19921875
"428",0,39,12,1,0,1,499.256988525391
"429",0,21,8,1,0,0,3083.580078125
"430",0,22,11,1,0,0,3708.71997070312
"431",0,20,11,1,0,0,7659.22021484375
"432",0,21,11,0,1,0,20857.80078125
"433",0,23,12,0,1,0,7078.18017578125
"435",0,28,9,1,0,1,1239.83996582031
"436",0,30,11,1,0,1,3982.80004882812
"439",0,22,10,0,0,0,7094.919921875
"440",0,44,9,1,0,1,12359.2998046875
"443",0,29,9,0,1,0,16900.30078125
"444",0,25,9,1,0,1,7343.9599609375
"445",0,22,10,0,0,1,5448.7998046875
